"Step","restful-grass-361 - decoder_loss","restful-grass-361 - decoder_loss__MIN","restful-grass-361 - decoder_loss__MAX","polar-wave-360 - decoder_loss","polar-wave-360 - decoder_loss__MIN","polar-wave-360 - decoder_loss__MAX","fanciful-lion-357 - decoder_loss","fanciful-lion-357 - decoder_loss__MIN","fanciful-lion-357 - decoder_loss__MAX","peachy-lake-322 - decoder_loss","peachy-lake-322 - decoder_loss__MIN","peachy-lake-322 - decoder_loss__MAX","fast-field-321 - decoder_loss","fast-field-321 - decoder_loss__MIN","fast-field-321 - decoder_loss__MAX","proud-plant-319 - decoder_loss","proud-plant-319 - decoder_loss__MIN","proud-plant-319 - decoder_loss__MAX","fresh-totem-319 - decoder_loss","fresh-totem-319 - decoder_loss__MIN","fresh-totem-319 - decoder_loss__MAX","lunar-grass-318 - decoder_loss","lunar-grass-318 - decoder_loss__MIN","lunar-grass-318 - decoder_loss__MAX","graceful-night-317 - decoder_loss","graceful-night-317 - decoder_loss__MIN","graceful-night-317 - decoder_loss__MAX","different-leaf-278 - decoder_loss","different-leaf-278 - decoder_loss__MIN","different-leaf-278 - decoder_loss__MAX"
"0","4.355362415313721","4.355362415313721","4.355362415313721","4.998483657836914","4.998483657836914","4.998483657836914","4.525006294250488","4.525006294250488","4.525006294250488","4.889729022979736","4.889729022979736","4.889729022979736","5.0378031730651855","5.0378031730651855","5.0378031730651855","5.090388774871826","5.090388774871826","5.090388774871826","4.9893927574157715","4.9893927574157715","4.9893927574157715","5.03624963760376","5.03624963760376","5.03624963760376","5.115340232849121","5.115340232849121","5.115340232849121","5.053792953491211","5.053792953491211","5.053792953491211"
"1","4.364810466766357","4.364810466766357","4.364810466766357","5.008579730987549","5.008579730987549","5.008579730987549","4.532376766204834","4.532376766204834","4.532376766204834","4.901284217834473","4.901284217834473","4.901284217834473","5.038727760314941","5.038727760314941","5.038727760314941","5.090738773345947","5.090738773345947","5.090738773345947","4.999600410461426","4.999600410461426","4.999600410461426","5.045795917510986","5.045795917510986","5.045795917510986","5.11543607711792","5.11543607711792","5.11543607711792","5.063065052032471","5.063065052032471","5.063065052032471"
"2","3.967750072479248","3.967750072479248","3.967750072479248","4.564004898071289","4.564004898071289","4.564004898071289","4.124814987182617","4.124814987182617","4.124814987182617","4.462050437927246","4.462050437927246","4.462050437927246","4.603296756744385","4.603296756744385","4.603296756744385","4.651762008666992","4.651762008666992","4.651762008666992","4.555450916290283","4.555450916290283","4.555450916290283","4.5994133949279785","4.5994133949279785","4.5994133949279785","4.674615383148193","4.674615383148193","4.674615383148193","4.615871429443359","4.615871429443359","4.615871429443359"
"3","4.444811820983887","4.444811820983887","4.444811820983887","5.1090569496154785","5.1090569496154785","5.1090569496154785","4.618224143981934","4.618224143981934","4.618224143981934","4.999096393585205","4.999096393585205","4.999096393585205","5.137970447540283","5.137970447540283","5.137970447540283","5.1908440589904785","5.1908440589904785","5.1908440589904785","5.099862575531006","5.099862575531006","5.099862575531006","5.147177696228027","5.147177696228027","5.147177696228027","5.215962886810303","5.215962886810303","5.215962886810303","5.164884090423584","5.164884090423584","5.164884090423584"
"4","4.543607234954834","4.543607234954834","4.543607234954834","5.260162830352783","5.260162830352783","5.260162830352783","4.728084564208984","4.728084564208984","4.728084564208984","5.140957832336426","5.140957832336426","5.140957832336426","5.29270076751709","5.29270076751709","5.29270076751709","5.350766658782959","5.350766658782959","5.350766658782959","5.250197410583496","5.250197410583496","5.250197410583496","5.301480770111084","5.301480770111084","5.301480770111084","5.378372669219971","5.378372669219971","5.378372669219971","5.320662021636963","5.320662021636963","5.320662021636963"
"5","3.8331799507141113","3.8331799507141113","3.8331799507141113","4.43388032913208","4.43388032913208","4.43388032913208","3.987490177154541","3.987490177154541","3.987490177154541","4.332530975341797","4.332530975341797","4.332530975341797","4.463852882385254","4.463852882385254","4.463852882385254","4.513113498687744","4.513113498687744","4.513113498687744","4.425397872924805","4.425397872924805","4.425397872924805","4.469127655029297","4.469127655029297","4.469127655029297","4.5365118980407715","4.5365118980407715","4.5365118980407715","4.485531806945801","4.485531806945801","4.485531806945801"
"6","4.196295261383057","4.196295261383057","4.196295261383057","4.811318874359131","4.811318874359131","4.811318874359131","4.356277942657471","4.356277942657471","4.356277942657471","4.707335472106934","4.707335472106934","4.707335472106934","4.844760894775391","4.844760894775391","4.844760894775391","4.895240306854248","4.895240306854248","4.895240306854248","4.802616119384766","4.802616119384766","4.802616119384766","4.8474955558776855","4.8474955558776855","4.8474955558776855","4.919312953948975","4.919312953948975","4.919312953948975","4.864319801330566","4.864319801330566","4.864319801330566"
"7","4.382260799407959","4.382260799407959","4.382260799407959","5.026054382324219","5.026054382324219","5.026054382324219","4.550186634063721","4.550186634063721","4.550186634063721","4.9186482429504395","4.9186482429504395","4.9186482429504395","5.056601524353027","5.056601524353027","5.056601524353027","5.108000755310059","5.108000755310059","5.108000755310059","5.017075538635254","5.017075538635254","5.017075538635254","5.063294887542725","5.063294887542725","5.063294887542725","5.132267951965332","5.132267951965332","5.132267951965332","5.080587387084961","5.080587387084961","5.080587387084961"
"8","4.666138172149658","4.666138172149658","4.666138172149658","5.319002151489258","5.319002151489258","5.319002151489258","4.838250637054443","4.838250637054443","4.838250637054443","5.209971904754639","5.209971904754639","5.209971904754639","5.352408409118652","5.352408409118652","5.352408409118652","5.404674530029297","5.404674530029297","5.404674530029297","5.309872627258301","5.309872627258301","5.309872627258301","5.356910228729248","5.356910228729248","5.356910228729248","5.429412364959717","5.429412364959717","5.429412364959717","5.374533653259277","5.374533653259277","5.374533653259277"
"9","4.449345588684082","4.449345588684082","4.449345588684082","5.1291351318359375","5.1291351318359375","5.1291351318359375","4.625129699707031","4.625129699707031","4.625129699707031","5.015495300292969","5.015495300292969","5.015495300292969","5.159151077270508","5.159151077270508","5.159151077270508","5.214135646820068","5.214135646820068","5.214135646820068","5.119631290435791","5.119631290435791","5.119631290435791","5.1685471534729","5.1685471534729","5.1685471534729","5.240268707275391","5.240268707275391","5.240268707275391","5.186851978302002","5.186851978302002","5.186851978302002"
"10","4.386904239654541","4.386904239654541","4.386904239654541","5.02772331237793","5.02772331237793","5.02772331237793","4.553226947784424","4.553226947784424","4.553226947784424","4.922260761260986","4.922260761260986","4.922260761260986","5.053872108459473","5.053872108459473","5.053872108459473","5.105234146118164","5.105234146118164","5.105234146118164","5.01890754699707","5.01890754699707","5.01890754699707","5.064265727996826","5.064265727996826","5.064265727996826","5.129610061645508","5.129610061645508","5.129610061645508","5.081248760223389","5.081248760223389","5.081248760223389"
"11","4.257162570953369","4.257162570953369","4.257162570953369","4.871997833251953","4.871997833251953","4.871997833251953","4.4178900718688965","4.4178900718688965","4.4178900718688965","4.770019054412842","4.770019054412842","4.770019054412842","4.89985990524292","4.89985990524292","4.89985990524292","4.949035167694092","4.949035167694092","4.949035167694092","4.863469123840332","4.863469123840332","4.863469123840332","4.9073805809021","4.9073805809021","4.9073805809021","4.972291946411133","4.972291946411133","4.972291946411133","4.923826694488525","4.923826694488525","4.923826694488525"
