"Step","peachy-lake-322 - loss","peachy-lake-322 - loss__MIN","peachy-lake-322 - loss__MAX","fast-field-321 - loss","fast-field-321 - loss__MIN","fast-field-321 - loss__MAX","proud-plant-319 - loss","proud-plant-319 - loss__MIN","proud-plant-319 - loss__MAX","fresh-totem-319 - loss","fresh-totem-319 - loss__MIN","fresh-totem-319 - loss__MAX","lunar-grass-318 - loss","lunar-grass-318 - loss__MIN","lunar-grass-318 - loss__MAX","graceful-night-317 - loss","graceful-night-317 - loss__MIN","graceful-night-317 - loss__MAX","different-leaf-278 - loss","different-leaf-278 - loss__MIN","different-leaf-278 - loss__MAX","revived-durian-275 - loss","revived-durian-275 - loss__MIN","revived-durian-275 - loss__MAX","copper-sun-265 - loss","copper-sun-265 - loss__MIN","copper-sun-265 - loss__MAX","breezy-elevator-264 - loss","breezy-elevator-264 - loss__MIN","breezy-elevator-264 - loss__MAX"
"0","6.842474937438965","6.842474937438965","6.842474937438965","5.696548938751221","5.696548938751221","5.696548938751221","6.028037071228027","6.028037071228027","6.028037071228027","6.995127201080322","6.995127201080322","6.995127201080322","7.137070178985596","7.137070178985596","7.137070178985596","6.221256256103516","6.221256256103516","6.221256256103516","7.2436442375183105","7.2436442375183105","7.2436442375183105","7.444680690765381","7.444680690765381","7.444680690765381","7.565453052520752","7.565453052520752","7.565453052520752","7.777698040008545","7.777698040008545","7.777698040008545"
"1","6.898247241973877","6.898247241973877","6.898247241973877","5.710691452026367","5.710691452026367","5.710691452026367","6.041862487792969","6.041862487792969","6.041862487792969","7.149526596069336","7.149526596069336","7.149526596069336","7.322820663452148","7.322820663452148","7.322820663452148","6.236331462860107","6.236331462860107","6.236331462860107","7.351456165313721","7.351456165313721","7.351456165313721","7.463104248046875","7.463104248046875","7.463104248046875","7.577391147613525","7.577391147613525","7.577391147613525","7.857398986816406","7.857398986816406","7.857398986816406"
"2","6.620245933532715","6.620245933532715","6.620245933532715","5.417031288146973","5.417031288146973","5.417031288146973","5.72506856918335","5.72506856918335","5.72506856918335","6.910459041595459","6.910459041595459","6.910459041595459","7.087002754211426","7.087002754211426","7.087002754211426","5.905494213104248","5.905494213104248","5.905494213104248","7.157891750335693","7.157891750335693","7.157891750335693","7.298488616943359","7.298488616943359","7.298488616943359","7.358322620391846","7.358322620391846","7.358322620391846","7.450521945953369","7.450521945953369","7.450521945953369"
"3","6.934143543243408","6.934143543243408","6.934143543243408","5.752183437347412","5.752183437347412","5.752183437347412","6.0950188636779785","6.0950188636779785","6.0950188636779785","7.160187721252441","7.160187721252441","7.160187721252441","7.271493434906006","7.271493434906006","7.271493434906006","6.2933125495910645","6.2933125495910645","6.2933125495910645","7.319540023803711","7.319540023803711","7.319540023803711","7.570584297180176","7.570584297180176","7.570584297180176","7.61281681060791","7.61281681060791","7.61281681060791","7.830821990966797","7.830821990966797","7.830821990966797"
"4","7.31540584564209","7.31540584564209","7.31540584564209","5.993949890136719","5.993949890136719","5.993949890136719","6.260536193847656","6.260536193847656","6.260536193847656","7.457828998565674","7.457828998565674","7.457828998565674","7.579820156097412","7.579820156097412","7.579820156097412","6.441895008087158","6.441895008087158","6.441895008087158","7.627749443054199","7.627749443054199","7.627749443054199","7.744426250457764","7.744426250457764","7.744426250457764","7.725787162780762","7.725787162780762","7.725787162780762","8.015395164489746","8.015395164489746","8.015395164489746"
"5","6.6858625411987305","6.6858625411987305","6.6858625411987305","5.411458492279053","5.411458492279053","5.411458492279053","5.6807026863098145","5.6807026863098145","5.6807026863098145","6.962645053863525","6.962645053863525","6.962645053863525","7.141041278839111","7.141041278839111","7.141041278839111","5.851659297943115","5.851659297943115","5.851659297943115","7.18004846572876","7.18004846572876","7.18004846572876","7.170921802520752","7.170921802520752","7.170921802520752","7.305344581604004","7.305344581604004","7.305344581604004","7.488698959350586","7.488698959350586","7.488698959350586"
"6","6.974599361419678","6.974599361419678","6.974599361419678","5.64103889465332","5.64103889465332","5.64103889465332","5.926353931427002","5.926353931427002","5.926353931427002","7.267277717590332","7.267277717590332","7.267277717590332","7.3348870277404785","7.3348870277404785","7.3348870277404785","6.106550216674805","6.106550216674805","6.106550216674805","7.355268955230713","7.355268955230713","7.355268955230713","7.4446702003479","7.4446702003479","7.4446702003479","7.510539531707764","7.510539531707764","7.510539531707764","7.714651107788086","7.714651107788086","7.714651107788086"
"7","6.9142656326293945","6.9142656326293945","6.9142656326293945","5.737148284912109","5.737148284912109","5.737148284912109","6.050312519073486","6.050312519073486","6.050312519073486","7.234654903411865","7.234654903411865","7.234654903411865","7.429959297180176","7.429959297180176","7.429959297180176","6.239124774932861","6.239124774932861","6.239124774932861","7.519589900970459","7.519589900970459","7.519589900970459","7.789731979370117","7.789731979370117","7.789731979370117","7.83877420425415","7.83877420425415","7.83877420425415","7.935469627380371","7.935469627380371","7.935469627380371"
"8","6.986443519592285","6.986443519592285","6.986443519592285","5.922369003295898","5.922369003295898","5.922369003295898","6.278607368469238","6.278607368469238","6.278607368469238","7.25714111328125","7.25714111328125","7.25714111328125","7.447459697723389","7.447459697723389","7.447459697723389","6.472790718078613","6.472790718078613","6.472790718078613","7.485692024230957","7.485692024230957","7.485692024230957","7.706321716308594","7.706321716308594","7.706321716308594","7.810367107391357","7.810367107391357","7.810367107391357","8.01282024383545","8.01282024383545","8.01282024383545"
"9","6.957244396209717","6.957244396209717","6.957244396209717","5.811298370361328","5.811298370361328","5.811298370361328","6.122546672821045","6.122546672821045","6.122546672821045","7.177689075469971","7.177689075469971","7.177689075469971","7.316728591918945","7.316728591918945","7.316728591918945","6.312883377075195","6.312883377075195","6.312883377075195","7.372646808624268","7.372646808624268","7.372646808624268","7.726061820983887","7.726061820983887","7.726061820983887","7.730006694793701","7.730006694793701","7.730006694793701","7.929254055023193","7.929254055023193","7.929254055023193"
"10","6.8566789627075195","6.8566789627075195","6.8566789627075195","5.716495037078857","5.716495037078857","5.716495037078857","6.042036533355713","6.042036533355713","6.042036533355713","7.142254829406738","7.142254829406738","7.142254829406738","7.289846897125244","7.289846897125244","7.289846897125244","6.234776020050049","6.234776020050049","6.234776020050049","7.336724758148193","7.336724758148193","7.336724758148193","7.5473713874816895","7.5473713874816895","7.5473713874816895","7.6201958656311035","7.6201958656311035","7.6201958656311035","7.730651378631592","7.730651378631592","7.730651378631592"
"11","6.837294101715088","6.837294101715088","6.837294101715088","5.596436977386475","5.596436977386475","5.596436977386475","5.928985595703125","5.928985595703125","5.928985595703125","7.089781284332275","7.089781284332275","7.089781284332275","7.235276222229004","7.235276222229004","7.235276222229004","6.1198248863220215","6.1198248863220215","6.1198248863220215","7.271540641784668","7.271540641784668","7.271540641784668","7.50175142288208","7.50175142288208","7.50175142288208","7.58843994140625","7.58843994140625","7.58843994140625","7.7464070320129395","7.7464070320129395","7.7464070320129395"
"12","7.086516857147217","7.086516857147217","7.086516857147217","5.982808589935303","5.982808589935303","5.982808589935303","6.333151817321777","6.333151817321777","6.333151817321777","7.426450729370117","7.426450729370117","7.426450729370117","7.601719856262207","7.601719856262207","7.601719856262207","6.530908107757568","6.530908107757568","6.530908107757568","7.677280426025391","7.677280426025391","7.677280426025391","7.7839860916137695","7.7839860916137695","7.7839860916137695","7.89771842956543","7.89771842956543","7.89771842956543","8.085886001586914","8.085886001586914","8.085886001586914"
"13","7.120234489440918","7.120234489440918","7.120234489440918","6.0478997230529785","6.0478997230529785","6.0478997230529785","6.394164562225342","6.394164562225342","6.394164562225342","7.473267555236816","7.473267555236816","7.473267555236816","7.667441368103027","7.667441368103027","7.667441368103027","6.596887111663818","6.596887111663818","6.596887111663818","7.763985633850098","7.763985633850098","7.763985633850098","7.9921555519104","7.9921555519104","7.9921555519104","8.004384994506836","8.004384994506836","8.004384994506836","8.239984512329102","8.239984512329102","8.239984512329102"
"14","6.764732837677002","6.764732837677002","6.764732837677002","5.594071388244629","5.594071388244629","5.594071388244629","5.8868584632873535","5.8868584632873535","5.8868584632873535","7.042232036590576","7.042232036590576","7.042232036590576","7.219071388244629","7.219071388244629","7.219071388244629","6.068394184112549","6.068394184112549","6.068394184112549","7.264711380004883","7.264711380004883","7.264711380004883","7.457033634185791","7.457033634185791","7.457033634185791","7.536888599395752","7.536888599395752","7.536888599395752","7.756867408752441","7.756867408752441","7.756867408752441"
